brand,price,os_name,Processor,RAM Size GB,Storage Size GB,battery_capacity,Dual_Sim,Screen_Size,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,fast_charging_power,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Resolution_Width,Resolution_Height,Notch_Type,os_version,rating,b_r,Processor_Category,price_Category,RAM Size GB_Category,Storage Size GB_Category,battery_capacity_Category,fast_charging_power_Category,os_version_Category,Screen_Size_Category,primary_rear_camera_mp_Category,primary_front_camera_mp_Category,Clock_Speed_GHz_Category,Resolution_Width_Category,Resolution_Height_Category,rating_Category
Nokia,6899,Android,Snapdragon_210,0.5,4.0,1500.0,Yes,2.8,60.0,2.0,1.0,16.0,1.0,Yes,0,Yes,No,No,No,No,4.0,1.1,240.0,320.0,No Notch,12.0,80.0,Other,snapdragon,Budget,0-1 GB,1-32 GB,800-3000 mAh,0-50W,v10-v16,1-4 inches,2-5 mp,8-16 mp,0-2 GHz,120-640 Width,160-640 Height,70-80 rating
Sony,69990,Android,Snapdragon_865,8.0,128.0,4000.0,Yes,6.1,120.0,12.0,3.0,8.0,1.0,Yes,21,Yes,Yes,No,Yes,No,8.0,2.84,1080.0,2520.0,No Notch,10.0,86.0,Other,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,12990,Android,Helio_35,4.0,128.0,5000.0,Yes,6.35,60.0,13.0,3.0,16.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,720.0,1544.0,Water Drop Notch,9.0,71.0,Vivo,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,8-16 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Sony,92980,Android,Snapdragon_8 Gen1,12.0,512.0,5000.0,Yes,6.5,120.0,12.0,1.0,12.0,1.0,Yes,30,Yes,Yes,No,Yes,No,8.0,2.4,1644.0,3840.0,No Notch,12.0,80.0,Other,snapdragon,Flagship,8-18 GB,256-1024 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,2-3 GHz,1440-2460 Width,2160-3840 Height,70-80 rating
Tecno,15999,Android,Helio_99,8.0,256.0,6000.0,Yes,6.66,90.0,50.0,1.0,8.0,1.0,Yes,45,Yes,No,No,No,No,8.0,2.2,720.0,1600.0,Water Drop Notch,12.0,74.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Huawei,23999,Android,Other_680,8.0,256.0,4500.0,Yes,6.67,90.0,108.0,3.0,16.0,1.0,Yes,66,Yes,No,No,Yes,No,8.0,2.4,1080.0,2160.0,Punch Hole,12.0,84.0,Other,Other,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,1480-2160 Height,80-90 rating
Vivo,12999,Android,Snapdragon_680,4.0,128.0,5000.0,Yes,6.58,90.0,50.0,2.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,75.0,Vivo,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Nubia,60990,Android,Snapdragon_8,12.0,256.0,5000.0,Yes,6.8,120.0,64.0,3.0,8.0,1.0,Yes,135,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2400.0,No Notch,12.0,86.0,Other,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,1-8 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Motorola,8859,Android,Helio_37,4.0,64.0,5000.0,Yes,6.5,90.0,16.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,1.8,720.0,1600.0,Punch Hole,12.0,67.0,Other,helio,Budget,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,14-40 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
iQOO,33749,Android,Snapdragon_870,12.0,256.0,4700.0,Yes,6.62,120.0,64.0,3.0,16.0,1.0,Yes,80,Yes,Yes,No,No,Yes,8.0,3.2,1080.0,2400.0,Punch Hole,12.0,84.0,Other,snapdragon,Premium,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,15990,Android,Other_Unknown,6.0,64.0,5000.0,Yes,6.5,60.0,48.0,3.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,12.0,63.0,Samsung,Other,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
POCO,24990,Android,Dimensity_8100,8.0,128.0,5080.0,Yes,6.6,144.0,64.0,3.0,16.0,1.0,No,67,Yes,Yes,No,Yes,Yes,8.0,2.85,1080.0,2460.0,Punch Hole,12.0,84.0,Other,dimensity,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme Narzo,14999,Android,Dimensity_810,4.0,128.0,5000.0,Yes,6.6,90.0,48.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,76.0,Other,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,17990,Android,Dimensity_930,6.0,128.0,4500.0,Yes,6.64,120.0,50.0,2.0,8.0,1.0,Yes,80,Yes,Yes,No,No,No,8.0,2.2,1080.0,2388.0,Punch Hole,12.0,76.0,Vivo,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Honor,24990,Android,Dimensity_900,8.0,128.0,4300.0,Yes,6.67,120.0,64.0,3.0,16.0,1.0,Yes,66,Yes,Yes,No,No,No,8.0,2.4,1080.0,2340.0,Punch Hole,12.0,75.0,Other,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,11600,Android,Helio_99,4.0,64.0,5000.0,Yes,6.58,90.0,50.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,Yes,8.0,2.2,1080.0,2400.0,Water Drop Notch,12.0,74.0,Xiaomi,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,8299,Android,Other_612,3.0,32.0,5000.0,Yes,6.52,60.0,13.0,3.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,1.82,720.0,1600.0,Water Drop Notch,11.0,62.0,Realme,Other,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Motorola,11999,Android,Helio_85,6.0,128.0,5000.0,Yes,6.47,60.0,50.0,3.0,13.0,1.0,Yes,20,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,78.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,89999,Android,Snapdragon_8,8.0,128.0,3700.0,Yes,6.7,120.0,50.0,1.0,16.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2640.0,Punch Hole,12.0,88.0,Samsung,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,27999,Android,Snapdragon_845,8.0,128.0,3300.0,Yes,6.28,60.0,20.0,2.0,16.0,1.0,No,0,Yes,No,No,Yes,No,8.0,2.8,1080.0,2280.0,No Notch,8.1,77.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,14-40 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Google,15990,Android,Snapdragon_835,4.0,128.0,3520.0,No,6.0,60.0,2.0,1.0,8.0,1.0,No,0,Yes,No,No,Yes,No,8.0,2.35,1440.0,2880.0,No Notch,8.0,69.0,Other,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,4-6 inches,2-5 mp,1-8 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,60-70 rating
Xiaomi,7289,Android,Helio_22,2.0,32.0,5000.0,Yes,6.52,60.0,8.0,2.0,5.0,1.0,Yes,10,Yes,No,No,No,No,4.0,2.4,720.0,1600.0,Water Drop Notch,12.0,60.0,Xiaomi,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Honor,30990,Android,Snapdragon_778,8.0,256.0,4800.0,Yes,6.67,120.0,54.0,3.0,32.0,1.0,Yes,66,Yes,Yes,No,Yes,No,8.0,2.5,1080.0,2400.0,Punch Hole,12.0,86.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme Narzo,15499,Android,Helio_96,6.0,128.0,5000.0,Yes,6.6,120.0,50.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,1080.0,2412.0,Punch Hole,11.0,77.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,8499,Android,Helio_35,3.0,32.0,5000.0,Yes,6.51,60.0,13.0,2.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,11.0,66.0,Vivo,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Samsung,14490,Android,Helio_80,6.0,128.0,6000.0,Yes,6.4,90.0,64.0,1.0,20.0,1.0,Yes,15,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Water Drop Notch,11.0,80.0,Samsung,helio,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,15490,Android,Dimensity_700,6.0,128.0,5000.0,Yes,6.6,90.0,64.0,3.0,8.0,1.0,Yes,15,Yes,Yes,No,No,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,11.0,80.0,Samsung,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,14990,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.6,120.0,50.0,3.0,16.0,1.0,Yes,60,Yes,Yes,No,No,No,8.0,2.2,1080.0,2412.0,Punch Hole,12.0,78.0,Realme,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
POCO,15999,Android,Dimensity_700,4.0,64.0,5000.0,Yes,6.5,90.0,48.0,3.0,8.0,1.0,Yes,18,Yes,Yes,No,No,Yes,8.0,2.2,1080.0,2400.0,Punch Hole,11.0,75.0,Other,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Google,36000,Android,Snapdragon_765,8.0,128.0,4080.0,Yes,6.0,90.0,16.0,2.0,8.0,1.0,Yes,18,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2340.0,Punch Hole,12.0,82.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,4-6 inches,14-40 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,69999,Android,Snapdragon_8 Gen2,12.0,256.0,4800.0,Yes,6.73,144.0,108.0,3.0,32.0,1.0,Yes,150,Yes,Yes,Yes,Yes,No,8.0,3.2,1440.0,3412.0,Punch Hole,12.0,80.0,Other,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,16-40 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Xiaomi,26990,Android,Dimensity_1080,8.0,256.0,4300.0,Yes,6.67,120.0,200.0,3.0,16.0,1.0,No,210,Yes,Yes,No,Yes,Yes,8.0,2.6,1080.0,2400.0,Punch Hole,12.0,86.0,Xiaomi,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,10630,Android,Exynos_850,4.0,64.0,6000.0,Yes,6.6,60.0,50.0,3.0,8.0,1.0,Yes,15,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Water Drop Notch,12.0,71.0,Samsung,exynos,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
OPPO,42990,Android,Dimensity_8100,8.0,256.0,4500.0,Yes,6.7,120.0,50.0,3.0,32.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,2.85,1080.0,2412.0,Punch Hole,12.0,85.0,OPPO,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,24990,Android,Dimensity_1300,8.0,128.0,4500.0,Yes,6.58,90.0,50.0,3.0,16.0,1.0,No,0,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,77.0,Vivo,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
iQOO,14489,Android,Snapdragon_680,4.0,128.0,5000.0,Yes,6.44,120.0,50.0,3.0,16.0,1.0,Yes,44,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Water Drop Notch,12.0,77.0,Other,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
OPPO,16490,Android,Snapdragon_680,6.0,128.0,5000.0,Yes,6.56,90.0,13.0,2.0,8.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,720.0,1612.0,Punch Hole,11.0,73.0,OPPO,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Realme,24494,Android,Dimensity_920,8.0,256.0,4500.0,Yes,6.4,90.0,50.0,3.0,16.0,1.0,No,60,Yes,Yes,No,No,No,8.0,2.5,1080.0,2400.0,Punch Hole,12.0,82.0,Realme,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,7999,Android,Helio_35,2.0,32.0,5000.0,Yes,6.51,60.0,8.0,1.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,11.0,61.0,Vivo,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Motorola,23990,Android,Snapdragon_888,6.0,128.0,5000.0,Yes,6.8,144.0,108.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.9,1080.0,2460.0,Punch Hole,12.0,85.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,49959,Android,Snapdragon_8 Gen1,8.0,128.0,5000.0,Yes,6.7,120.0,50.0,3.0,32.0,1.0,Yes,65,Yes,Yes,No,Yes,No,8.0,2.4,1440.0,3216.0,Punch Hole,12.0,89.0,Realme,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Apple,129900,iOS,Bionic_15,6.0,256.0,3095.0,Yes,6.1,120.0,12.0,3.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1170.0,2532.0,Large Notch,15.0,83.0,Apple,bionic,Luxury,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Vivo,19990,Android,Helio_95,8.0,128.0,4000.0,Yes,6.44,60.0,64.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.05,1080.0,2400.0,Water Drop Notch,11.0,80.0,Vivo,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,14990,Android,Other_Unknown,4.0,64.0,5000.0,Yes,6.62,60.0,50.0,3.0,16.0,1.0,Yes,25,Yes,No,No,Yes,No,8.0,2.4,2408.0,1080.0,Punch Hole,13.0,67.0,Samsung,Other,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1440-2460 Width,640-1480 Height,60-70 rating
Vivo,23269,Android,Snapdragon_720,8.0,128.0,4000.0,Yes,6.44,60.0,64.0,3.0,44.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.3,1080.0,2400.0,Water Drop Notch,11.0,85.0,Vivo,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,40-60 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Xiaomi,13999,Android,Snapdragon_720,4.0,64.0,5020.0,Yes,6.67,60.0,48.0,1.0,16.0,1.0,Yes,18,Yes,No,No,No,Yes,8.0,2.3,1080.0,2400.0,Punch Hole,10.0,75.0,Xiaomi,snapdragon,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,1949,Android,Other_Unknown,6.0,128.0,800.0,Yes,2.0,60.0,50.0,1.0,16.0,1.0,Yes,0,No,No,No,No,No,8.0,2.4,128.0,160.0,No Notch,12.0,80.0,Samsung,Other,Budget,4-8 GB,32-256 GB,800-3000 mAh,0-50W,v10-v16,1-4 inches,40-60 mp,8-16 mp,2-3 GHz,120-640 Width,160-640 Height,70-80 rating
Itel,2799,Android,Other_1,0.06,0.12,2500.0,Yes,2.4,60.0,3.0,1.0,16.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,320.0,240.0,No Notch,12.0,80.0,Other,Other,Budget,0-1 GB,0-1 GB,800-3000 mAh,0-50W,v10-v16,1-4 inches,2-5 mp,8-16 mp,2-3 GHz,120-640 Width,160-640 Height,70-80 rating
OnePlus,35389,Android,Dimensity_8100,8.0,128.0,5000.0,Yes,6.7,120.0,50.0,3.0,16.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,2.85,1080.0,2412.0,Punch Hole,12.0,85.0,Other,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Google,79700,Android,Other_2,12.0,256.0,5003.0,Yes,6.71,120.0,50.0,3.0,1.0,1.0,Yes,30,Yes,Yes,No,Yes,No,8.0,2.8,1440.0,3120.0,Punch Hole,12.0,80.0,Other,Other,Flagship,8-18 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Nokia,9499,Android,Unisoc_9863,3.0,32.0,5050.0,Yes,6.74,60.0,13.0,3.0,5.0,1.0,Yes,10,Yes,No,No,No,No,8.0,1.6,720.0,1600.0,Water Drop Notch,12.0,62.0,Other,unisoc,Budget,1-4 GB,1-32 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Infinix,12340,Android,Other_616,8.0,128.0,5000.0,Yes,6.6,90.0,50.0,1.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.4,720.0,1612.0,Water Drop Notch,12.0,76.0,Other,Other,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
POCO,10799,Android,Helio_99,4.0,64.0,5000.0,Yes,6.58,90.0,50.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,Yes,8.0,2.2,1080.0,2400.0,Water Drop Notch,12.0,74.0,Other,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,14990,Android,Snapdragon_680,4.0,128.0,6000.0,Yes,6.7,60.0,50.0,2.0,5.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,11.0,73.0,Xiaomi,snapdragon,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
ZTE,61990,Android,Snapdragon_8 Gen1,8.0,128.0,5000.0,Yes,6.8,120.0,64.0,3.0,16.0,1.0,Yes,65,Yes,Yes,No,Yes,No,8.0,2.4,1116.0,2480.0,No Notch,12.0,89.0,Other,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Xiaomi,51880,Android,Snapdragon_8 Gen1,12.0,256.0,4600.0,Yes,6.73,120.0,50.0,3.0,32.0,1.0,Yes,120,Yes,Yes,No,Yes,Yes,8.0,2.4,1440.0,3200.0,Punch Hole,12.0,80.0,Xiaomi,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
OPPO,16990,Android,Snapdragon_680,8.0,128.0,5000.0,Yes,6.59,90.0,50.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,1080.0,2412.0,Punch Hole,11.0,80.0,OPPO,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Huawei,19990,Android,Snapdragon_680,8.0,128.0,4000.0,Yes,6.78,90.0,108.0,1.0,16.0,1.0,Yes,66,Yes,No,No,Yes,No,8.0,2.4,1080.0,2388.0,Punch Hole,11.0,84.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,57999,Android,Snapdragon_8 Gen1,8.0,256.0,3700.0,Yes,6.1,120.0,50.0,3.0,10.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2340.0,Punch Hole,12.0,87.0,Samsung,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Lenovo,46990,Android,Snapdragon_8 Gen1,12.0,256.0,5600.0,Yes,6.92,144.0,64.0,2.0,16.0,1.0,Yes,68,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2460.0,No Notch,12.0,87.0,Other,snapdragon,Premium,8-18 GB,32-256 GB,5000-10000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,20990,Android,Dimensity_700,4.0,128.0,5000.0,Yes,6.58,60.0,50.0,3.0,8.0,1.0,Yes,18,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,11.0,77.0,Vivo,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Nokia,17990,Android,Snapdragon_480,6.0,128.0,4470.0,Yes,6.67,60.0,48.0,1.0,16.0,1.0,Yes,18,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,82.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,17499,Android,Dimensity_810,8.0,128.0,5000.0,Yes,6.5,90.0,64.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,82.0,Realme,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
